ArmSpan,146.70
Timestamp,HeadX,HeadY,HeadZ,HeadPitch,HeadYaw,HeadRoll,LeftX_norm,LeftY_norm,LeftZ_norm,RightX_norm,RightY_norm,RightZ_norm
0.0422,268.23,-1108.10,80.29,-0.85,95.45,-0.52,0.4413,0.0112,-0.2033,-0.4498,-0.0162,-0.1767
0.0842,268.26,-1108.08,80.24,-1.07,95.48,-0.59,0.4414,0.0137,-0.2031,-0.4500,-0.0146,-0.1762
0.1262,268.30,-1108.09,80.18,-1.39,95.41,-0.81,0.4392,0.0168,-0.2020,-0.4493,-0.0120,-0.1755
0.1681,268.34,-1108.11,80.15,-1.55,95.35,-0.96,0.4376,0.0213,-0.2006,-0.4490,-0.0089,-0.1749
0.2098,268.41,-1108.15,80.08,-1.89,95.28,-1.02,0.4355,0.0276,-0.1984,-0.4484,-0.0046,-0.1733
0.2515,268.47,-1108.19,80.04,-2.12,95.16,-1.27,0.4323,0.0338,-0.1970,-0.4472,0.0006,-0.1708
0.2935,268.54,-1108.26,79.98,-2.46,95.01,-1.49,0.4287,0.0424,-0.1943,-0.4452,0.0084,-0.1657
0.3353,268.60,-1108.32,79.94,-2.59,94.82,-1.69,0.4233,0.0518,-0.1901,-0.4418,0.0168,-0.1603
0.3772,268.66,-1108.43,79.85,-2.99,94.69,-1.97,0.4170,0.0640,-0.1833,-0.4378,0.0267,-0.1535
0.4192,268.73,-1108.53,79.80,-3.40,94.61,-2.25,0.4079,0.0778,-0.1748,-0.4308,0.0391,-0.1448
0.4604,268.80,-1108.64,79.74,-3.55,94.56,-2.56,0.3972,0.0924,-0.1651,-0.4211,0.0519,-0.1353
0.5021,268.87,-1108.79,79.66,-3.95,94.55,-2.86,0.3840,0.1086,-0.1535,-0.4081,0.0664,-0.1255
0.5440,268.94,-1108.95,79.59,-4.12,94.54,-3.28,0.3680,0.1247,-0.1420,-0.3915,0.0808,-0.1165
0.5859,268.99,-1109.17,79.52,-4.44,94.58,-3.49,0.3497,0.1401,-0.1303,-0.3709,0.0944,-0.1087
0.6278,269.03,-1109.40,79.48,-4.54,94.65,-3.78,0.3302,0.1549,-0.1203,-0.3497,0.1076,-0.1028
0.6692,269.08,-1109.68,79.45,-4.55,94.76,-3.88,0.3094,0.1688,-0.1112,-0.3277,0.1198,-0.0982
0.7113,269.12,-1110.00,79.41,-4.67,94.96,-3.95,0.2877,0.1818,-0.1040,-0.3057,0.1311,-0.0949
0.7529,269.14,-1110.32,79.40,-4.60,95.25,-3.90,0.2655,0.1944,-0.0986,-0.2833,0.1425,-0.0925
0.7946,269.17,-1110.67,79.35,-4.61,95.57,-3.96,0.2427,0.2060,-0.0942,-0.2614,0.1534,-0.0911
0.8364,269.19,-1111.01,79.31,-4.52,95.83,-4.09,0.2192,0.2160,-0.0912,-0.2405,0.1645,-0.0913
0.8778,269.22,-1111.36,79.29,-4.45,96.08,-4.21,0.1955,0.2260,-0.0896,-0.2199,0.1764,-0.0930
0.9195,269.25,-1111.70,79.29,-4.28,96.22,-4.20,0.1723,0.2348,-0.0897,-0.1997,0.1880,-0.0956
0.9613,269.28,-1112.06,79.27,-4.28,96.47,-4.14,0.1496,0.2432,-0.0903,-0.1800,0.2001,-0.0984
1.0028,269.29,-1112.37,79.28,-4.06,96.59,-4.31,0.1281,0.2499,-0.0920,-0.1603,0.2106,-0.1024
1.0451,269.32,-1112.67,79.28,-3.81,96.79,-4.30,0.1089,0.2556,-0.0955,-0.1439,0.2194,-0.1075
1.0869,269.36,-1112.95,79.28,-3.66,96.88,-4.51,0.0926,0.2611,-0.0997,-0.1299,0.2289,-0.1132
1.1282,269.40,-1113.20,79.30,-3.59,96.87,-4.68,0.0797,0.2663,-0.1060,-0.1179,0.2370,-0.1195
1.1701,269.45,-1113.39,79.30,-3.48,96.87,-4.62,0.0694,0.2711,-0.1129,-0.1082,0.2441,-0.1259
1.2126,269.48,-1113.59,79.26,-3.72,96.89,-4.68,0.0616,0.2758,-0.1204,-0.1013,0.2512,-0.1335
1.2540,269.51,-1113.67,79.23,-3.75,96.89,-4.85,0.0551,0.2791,-0.1283,-0.0968,0.2567,-0.1416
1.2954,269.54,-1113.77,79.21,-4.09,96.95,-5.01,0.0524,0.2829,-0.1350,-0.0951,0.2622,-0.1503
1.3372,269.56,-1113.82,79.20,-3.94,97.14,-5.04,0.0507,0.2850,-0.1405,-0.0939,0.2656,-0.1581
1.3791,269.57,-1113.80,79.24,-3.86,97.40,-5.32,0.0489,0.2861,-0.1456,-0.0939,0.2664,-0.1661
1.4206,269.56,-1113.73,79.31,-3.70,97.94,-5.53,0.0491,0.2875,-0.1484,-0.0957,0.2658,-0.1719
1.4626,269.57,-1113.54,79.41,-3.63,98.74,-5.90,0.0462,0.2863,-0.1522,-0.0976,0.2613,-0.1762
1.5039,269.59,-1113.28,79.54,-3.50,99.70,-6.31,0.0428,0.2848,-0.1551,-0.0996,0.2536,-0.1817
1.5457,269.65,-1112.94,79.65,-2.99,100.96,-6.76,0.0420,0.2856,-0.1564,-0.1067,0.2415,-0.1870
1.5872,269.76,-1112.53,79.69,-3.01,102.68,-6.89,0.0430,0.2865,-0.1567,-0.1195,0.2242,-0.1929
1.6294,269.91,-1111.93,79.74,-2.70,104.44,-7.72,0.0437,0.2882,-0.1577,-0.1394,0.2004,-0.1989
1.6710,270.15,-1111.25,79.72,-2.77,106.44,-8.73,0.0444,0.2888,-0.1582,-0.1643,0.1717,-0.2029
1.7128,270.51,-1110.39,79.66,-3.02,108.71,-9.85,0.0451,0.2894,-0.1590,-0.1949,0.1356,-0.2018
1.7544,270.90,-1109.38,79.52,-3.37,110.92,-11.43,0.0455,0.2880,-0.1592,-0.2284,0.0950,-0.1947
1.7958,271.34,-1108.25,79.39,-3.76,113.05,-12.90,0.0454,0.2849,-0.1604,-0.2619,0.0506,-0.1787
1.8380,271.81,-1107.04,79.27,-3.76,114.80,-14.66,0.0435,0.2807,-0.1625,-0.2896,0.0046,-0.1524
1.8794,272.31,-1105.89,79.07,-3.75,116.06,-15.93,0.0401,0.2762,-0.1651,-0.3088,-0.0369,-0.1142
1.9215,272.85,-1104.85,78.93,-3.69,116.65,-16.82,0.0346,0.2725,-0.1688,-0.3143,-0.0683,-0.0677
1.9630,273.38,-1104.04,78.63,-3.89,116.91,-17.37,0.0284,0.2695,-0.1704,-0.3074,-0.0861,-0.0192
2.0044,273.82,-1103.45,78.43,-4.27,116.60,-17.66,0.0209,0.2672,-0.1721,-0.2938,-0.0854,0.0247
2.0459,274.22,-1103.10,78.32,-4.25,115.61,-17.71,0.0126,0.2648,-0.1735,-0.2778,-0.0662,0.0592
2.0879,274.57,-1103.03,78.32,-4.08,114.68,-16.79,0.0046,0.2635,-0.1748,-0.2627,-0.0337,0.0825
2.1298,274.84,-1103.19,78.39,-3.92,113.50,-16.54,-0.0018,0.2625,-0.1764,-0.2464,0.0087,0.0970
2.1715,275.08,-1103.41,78.43,-3.99,111.99,-15.43,-0.0063,0.2607,-0.1777,-0.2272,0.0591,0.1014
2.2136,275.30,-1103.74,78.26,-4.78,110.38,-14.14,-0.0090,0.2588,-0.1781,-0.2052,0.1080,0.0932
2.2554,275.48,-1104.07,77.96,-6.75,108.46,-12.74,-0.0098,0.2559,-0.1794,-0.1823,0.1526,0.0766
2.2973,275.61,-1104.30,77.60,-9.19,105.91,-11.78,-0.0082,0.2508,-0.1818,-0.1583,0.1924,0.0519
2.3395,275.74,-1104.40,77.16,-11.97,102.86,-10.47,-0.0053,0.2448,-0.1850,-0.1357,0.2249,0.0225
2.3810,275.80,-1104.19,76.91,-13.79,99.31,-9.44,0.0008,0.2358,-0.1907,-0.1159,0.2493,-0.0105
2.4228,275.84,-1103.81,76.61,-15.19,95.44,-7.80,0.0091,0.2259,-0.1960,-0.0992,0.2645,-0.0412
2.4641,275.73,-1103.29,76.33,-16.46,91.60,-6.22,0.0209,0.2149,-0.2014,-0.0836,0.2753,-0.0672
2.5062,275.57,-1102.53,76.07,-17.49,87.60,-4.38,0.0370,0.1993,-0.2079,-0.0707,0.2796,-0.0898
2.5482,275.17,-1101.81,75.71,-19.00,83.93,-2.16,0.0600,0.1804,-0.2152,-0.0583,0.2833,-0.1106
2.5902,274.68,-1100.84,75.47,-20.13,80.32,0.08,0.0893,0.1543,-0.2251,-0.0510,0.2847,-0.1281
2.6320,274.11,-1099.94,75.21,-20.74,77.91,2.57,0.1213,0.1259,-0.2362,-0.0444,0.2869,-0.1459
2.6735,273.45,-1098.95,75.08,-21.41,75.56,3.17,0.1547,0.0860,-0.2436,-0.0407,0.2863,-0.1609
2.7156,272.90,-1097.93,74.89,-21.60,73.76,4.09,0.1815,0.0350,-0.2471,-0.0360,0.2849,-0.1753
