ArmSpan,133.50
Timestamp,HeadX,HeadY,HeadZ,HeadPitch,HeadYaw,HeadRoll,LeftX_norm,LeftY_norm,LeftZ_norm,RightX_norm,RightY_norm,RightZ_norm
0.0413,268.31,-1110.03,80.84,-0.45,96.37,-2.63,0.0801,0.1848,-0.2251,-0.0911,0.1793,-0.2245
0.0825,268.26,-1110.05,80.72,-1.41,96.11,-2.40,0.0752,0.1855,-0.2238,-0.0875,0.1836,-0.2229
0.1244,268.15,-1110.03,80.65,-1.83,96.00,-2.43,0.0713,0.1880,-0.2209,-0.0826,0.1877,-0.2222
0.1664,268.04,-1110.04,80.60,-2.11,96.15,-2.65,0.0673,0.1919,-0.2203,-0.0780,0.1917,-0.2232
0.2088,267.92,-1110.05,80.56,-2.39,96.44,-2.89,0.0634,0.1967,-0.2182,-0.0741,0.1955,-0.2255
0.2504,267.79,-1110.02,80.57,-2.51,96.78,-3.39,0.0598,0.2042,-0.2160,-0.0720,0.1987,-0.2313
0.2915,267.70,-1110.01,80.58,-2.64,97.27,-3.97,0.0565,0.2169,-0.2136,-0.0714,0.2008,-0.2405
0.3336,267.61,-1109.97,80.61,-2.96,97.85,-4.58,0.0525,0.2294,-0.2079,-0.0735,0.1989,-0.2529
0.3754,267.56,-1109.87,80.67,-2.84,98.53,-5.01,0.0497,0.2425,-0.2036,-0.0815,0.1929,-0.2693
0.4173,267.52,-1109.70,80.71,-2.56,99.40,-5.21,0.0483,0.2573,-0.2026,-0.0954,0.1814,-0.2859
0.4591,267.50,-1109.52,80.70,-2.58,100.39,-5.50,0.0484,0.2717,-0.2029,-0.1122,0.1668,-0.3008
0.5009,267.45,-1109.25,80.72,-2.78,101.72,-5.93,0.0472,0.2825,-0.2030,-0.1319,0.1486,-0.3150
0.5422,267.43,-1108.93,80.72,-2.90,103.41,-6.49,0.0467,0.2927,-0.2039,-0.1546,0.1261,-0.3273
0.5841,267.43,-1108.55,80.76,-2.86,105.49,-7.08,0.0449,0.2992,-0.2046,-0.1786,0.0976,-0.3355
0.6262,267.44,-1108.11,80.75,-2.69,107.77,-7.92,0.0436,0.3079,-0.2058,-0.2031,0.0639,-0.3361
0.6677,267.50,-1107.60,80.81,-2.35,109.95,-9.10,0.0422,0.3134,-0.2058,-0.2275,0.0275,-0.3252
0.7094,267.59,-1107.11,80.77,-2.06,112.11,-9.96,0.0409,0.3179,-0.2046,-0.2518,-0.0095,-0.2978
0.7506,267.71,-1106.68,80.77,-2.16,114.19,-10.91,0.0405,0.3226,-0.2036,-0.2742,-0.0395,-0.2563
0.7926,267.86,-1106.24,80.87,-1.98,116.09,-12.00,0.0397,0.3265,-0.2039,-0.2917,-0.0625,-0.2018
0.8344,268.08,-1105.84,80.95,-1.70,117.71,-13.02,0.0367,0.3280,-0.2038,-0.2990,-0.0750,-0.1399
0.8761,268.32,-1105.46,81.02,-1.38,118.79,-13.96,0.0332,0.3287,-0.2035,-0.2979,-0.0792,-0.0791
0.9184,268.57,-1105.16,81.02,-1.11,119.23,-14.61,0.0287,0.3261,-0.2025,-0.2897,-0.0749,-0.0228
0.9599,268.83,-1104.91,81.00,-0.86,119.08,-15.17,0.0235,0.3217,-0.2009,-0.2762,-0.0604,0.0230
1.0017,269.08,-1104.76,80.92,-0.92,118.37,-15.58,0.0178,0.3159,-0.1988,-0.2635,-0.0392,0.0596
